"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Direct use of solar thermal heat - Final energy consumption","2019","Terajoules","558.18",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2018","Terajoules","563.71",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2017","Terajoules","552.658",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2016","Terajoules","504",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2015","Terajoules","493",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2014","Terajoules","502",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2013","Terajoules","481",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2012","Terajoules","477",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2011","Terajoules","477",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2010","Terajoules","281",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2009","Terajoules","279",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2008","Terajoules","272",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2007","Terajoules","264",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2006","Terajoules","96",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2005","Terajoules","96",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2004","Terajoules","57",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2003","Terajoules","84",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2002","Terajoules","59",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2001","Terajoules","57",""
"Albania","Direct use of solar thermal heat - Final energy consumption","2000","Terajoules","46",""
"Albania","Direct use of solar thermal heat - Consumption by manufacturing, construction and non-fuel mining industry","2019","Terajoules","41.03",""
"Albania","Direct use of solar thermal heat - Consumption by manufacturing, construction and non-fuel mining industry","2018","Terajoules","41.03",""
"Albania","Direct use of solar thermal heat - Consumption by manufacturing, construction and non-fuel mining industry","2017","Terajoules","30.145",""
"Albania","Direct use of solar thermal heat - Consumption by other manuf., const. and non-fuel ind.","2019","Terajoules","41.03",""
"Albania","Direct use of solar thermal heat - Consumption by other manuf., const. and non-fuel ind.","2018","Terajoules","41.03",""
"Albania","Direct use of solar thermal heat - Consumption by other manuf., const. and non-fuel ind.","2017","Terajoules","30.145",""
"Albania","Direct use of solar thermal heat - Consumption by food and tobacco","2019","Terajoules","41.03",""
"Albania","Direct use of solar thermal heat - Consumption by food and tobacco","2018","Terajoules","41.03",""
"Albania","Direct use of solar thermal heat - Consumption by food and tobacco","2017","Terajoules","30.145",""
"Albania","Direct use of solar thermal heat - Consumption by other","2019","Terajoules","517.15",""
"Albania","Direct use of solar thermal heat - Consumption by other","2018","Terajoules","522.68",""
"Albania","Direct use of solar thermal heat - Consumption by other","2017","Terajoules","522.513",""
"Albania","Direct use of solar thermal heat - Consumption by other","2016","Terajoules","504",""
"Albania","Direct use of solar thermal heat - Consumption by other","2015","Terajoules","493",""
"Albania","Direct use of solar thermal heat - Consumption by other","2014","Terajoules","502",""
"Albania","Direct use of solar thermal heat - Consumption by other","2013","Terajoules","481",""
"Albania","Direct use of solar thermal heat - Consumption by other","2012","Terajoules","477",""
"Albania","Direct use of solar thermal heat - Consumption by other","2011","Terajoules","477",""
"Albania","Direct use of solar thermal heat - Consumption by other","2010","Terajoules","281",""
"Albania","Direct use of solar thermal heat - Consumption by other","2009","Terajoules","279",""
"Albania","Direct use of solar thermal heat - Consumption by other","2008","Terajoules","272",""
"Albania","Direct use of solar thermal heat - Consumption by other","2007","Terajoules","264",""
"Albania","Direct use of solar thermal heat - Consumption by other","2006","Terajoules","96",""
"Albania","Direct use of solar thermal heat - Consumption by other","2005","Terajoules","96",""
"Albania","Direct use of solar thermal heat - Consumption by other","2004","Terajoules","57",""
"Albania","Direct use of solar thermal heat - Consumption by other","2003","Terajoules","84",""
"Albania","Direct use of solar thermal heat - Consumption by other","2002","Terajoules","59",""
"Albania","Direct use of solar thermal heat - Consumption by other","2001","Terajoules","57",""
"Albania","Direct use of solar thermal heat - Consumption by other","2000","Terajoules","46",""
"Albania","Direct use of solar thermal heat - Consumption by households","2019","Terajoules","326.57",""
"Albania","Direct use of solar thermal heat - Consumption by households","2018","Terajoules","317.53",""
"Albania","Direct use of solar thermal heat - Consumption by households","2017","Terajoules","314.01",""
"Albania","Direct use of solar thermal heat - Consumption by households","2016","Terajoules","272",""
"Albania","Direct use of solar thermal heat - Consumption by households","2015","Terajoules","267",""
"Albania","Direct use of solar thermal heat - Consumption by households","2014","Terajoules","225",""
"Albania","Direct use of solar thermal heat - Consumption by households","2013","Terajoules","225",""
"Albania","Direct use of solar thermal heat - Consumption by households","2012","Terajoules","225",""
"Albania","Direct use of solar thermal heat - Consumption by households","2011","Terajoules","225",""
