"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Albania";"Direct use of solar thermal heat - Consumption by households";"2015";"Terajoules";"267";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2015";"Terajoules";"14442";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2014";"Terajoules";"12858";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2013";"Terajoules";"12756";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2012";"Terajoules";"11972";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2011";"Terajoules";"11255";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2010";"Terajoules";"10130";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2009";"Terajoules";"7963";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2008";"Terajoules";"6472";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2007";"Terajoules";"5848";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2006";"Terajoules";"2279";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2005";"Terajoules";"2467";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2004";"Terajoules";"2460";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2003";"Terajoules";"2621";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2002";"Terajoules";"3515";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2001";"Terajoules";"3462";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"2000";"Terajoules";"3418";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"1999";"Terajoules";"3385";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"1998";"Terajoules";"3360";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"1997";"Terajoules";"3343";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"1996";"Terajoules";"3333";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"1995";"Terajoules";"3331";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"1994";"Terajoules";"3335";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"1993";"Terajoules";"3344";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"1992";"Terajoules";"3359";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"1991";"Terajoules";"3380";""
"Australia";"Direct use of solar thermal heat - Consumption by households";"1990";"Terajoules";"3405";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2015";"Terajoules";"5772";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2014";"Terajoules";"5553";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2013";"Terajoules";"5747";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2012";"Terajoules";"5361";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2011";"Terajoules";"5108";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2010";"Terajoules";"5186";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2009";"Terajoules";"4247";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2008";"Terajoules";"3324";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2007";"Terajoules";"3303";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2006";"Terajoules";"3224";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2005";"Terajoules";"2831";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2004";"Terajoules";"2079";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2003";"Terajoules";"1891";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2002";"Terajoules";"1715";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2001";"Terajoules";"1621";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"2000";"Terajoules";"1495";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"1999";"Terajoules";"1369";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"1998";"Terajoules";"1283";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"1997";"Terajoules";"1136";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"1996";"Terajoules";"994";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"1995";"Terajoules";"842";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"1994";"Terajoules";"693";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"1993";"Terajoules";"589";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"1992";"Terajoules";"547";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"1991";"Terajoules";"446";""
"Austria";"Direct use of solar thermal heat - Consumption by households";"1990";"Terajoules";"345";""
"Belgium";"Direct use of solar thermal heat - Consumption by households";"2015";"Terajoules";"889";""
"Belgium";"Direct use of solar thermal heat - Consumption by households";"2014";"Terajoules";"823";""
"Belgium";"Direct use of solar thermal heat - Consumption by households";"2013";"Terajoules";"747";""
"Belgium";"Direct use of solar thermal heat - Consumption by households";"2012";"Terajoules";"607";""
"Belgium";"Direct use of solar thermal heat - Consumption by households";"2011";"Terajoules";"556";""
"Belgium";"Direct use of solar thermal heat - Consumption by households";"2010";"Terajoules";"470";""
"Belgium";"Direct use of solar thermal heat - Consumption by households";"2009";"Terajoules";"396";""
"Belgium";"Direct use of solar thermal heat - Consumption by households";"2008";"Terajoules";"214";""
"Belgium";"Direct use of solar thermal heat - Consumption by households";"2007";"Terajoules";"170";""
