title,src,url,description, tag
Data visualisation,img/chord_survey.png,https://ritagior.github.io/ritagiordano/gallery.html,Data visualisation,
Scientific Illustration,img/cover_web.jpg, https://ritagior.github.io/ritagiordano/Illustration.html,Scientific Illustration,
Sankey, img/sankey_web.jpg, img/sankey_web.jpg, Datavis, R; d3; networkD3; htmltools
Network, img/network.jpg, https://ritagior.github.io/ritagiordano/Network.html, Datavis, R; visnetwork; networkD3
Chord, img/published/chord_diagram_topic_final.jpg, https://ritagior.github.io/ritagiordano/Topic_modeling.html,Datavis, R; circlize
Leads, img/personal/leads_web.png,  img/personal/leads_web.png, Datavis, R; ggplot2; Adobe Illustrator
fertility, img/personal/fertility.jpg, https://ritagior.github.io/ritagiordano/World_fertility.html, Datavis, R; ggplot2
flourish, img/personal/fertility_flou.png, https://ritagior.github.io/ritagiordano/World_fertility.html, Datavis, Flourish
solar, img/personal/solar.jpg, https://ritagior.github.io/ritagiordano/Solar_consuption.html, Datavis, R; ggplot2
Cover,img/cover.jpg, , Sciart, Journal cover; Photoshop; R; watercolour
Begonia wax semperflorens, img/begonia_wax.jpg, , Sciart, botanical illustration; pen and ink
Mushroom, img/Mushroom.jpg, , Sciart, natural history illustration; graphite
Eagle, img/Eagle.jpg, , Sciart, natural history illustration; graphite
