Years,Employeur,Pays,Fonctions,Activity,Statut
01/2009-01/2012,European Radiation Synchrotron Facility (ESRF),France,PhD,Working,Academia
10/2012-05/2013,Swiss Light Source (SLS),Switzerland,PostDoc,Working,Academia
06/2013-02/2014,Quintiles,France,Biostatistician,Working,Industry
05/2014-09/2014,Cambridge University,United Kingdom ,PostDoc,Working,Academia
10/2014-08/2016,Parental Leave,France,Parental leave,Parental Leave,Time off
09/2016-03/2017,Flaregames,Germany,Data Analyst,Working,Industry
04/2017-10/2017,Time off,France,Writing grants,Time off,Time off
11/2017-05/2018,Parental Leave,France,Parental leave,Parental Leave,Time off
05/2018-12/2018,Freelance,France,Data scientist,Working,Industry
05/2019-12/2021,Royal Society of Chemistry,United Kingdom ,Data scientist,Working,Industry
12/2021-05/2022,Freelance ,United Kingdom ,Data vis,Working,Industry
01/2021-05/2022,Freelance ,United Kingdom ,Scientific Illustration,Working,Industry
